postcode,provincie,stad
1000,Noord-Holland,Amsterdam
1001,Noord-Holland,Amsterdam
1002,Noord-Holland,Amsterdam
1003,Noord-Holland,Amsterdam
1005,Noord-Holland,Amsterdam
1006,Noord-Holland,Amsterdam
1007,Noord-Holland,Amsterdam
1008,Noord-Holland,Amsterdam
1009,Noord-Holland,Amsterdam
1011,Noord-Holland,Amsterdam
1012,Noord-Holland,Amsterdam
1013,Noord-Holland,Amsterdam
1014,Noord-Holland,Amsterdam
1015,Noord-Holland,Amsterdam
1016,Noord-Holland,Amsterdam
1017,Noord-Holland,Amsterdam
1018,Noord-Holland,Amsterdam
1019,Noord-Holland,Amsterdam
1020,Noord-Holland,Amsterdam
1021,Noord-Holland,Amsterdam
1022,Noord-Holland,Amsterdam
1023,Noord-Holland,Amsterdam
1024,Noord-Holland,Amsterdam
1025,Noord-Holland,Amsterdam
1026,Noord-Holland,Amsterdam
1027,Noord-Holland,Amsterdam
1028,Noord-Holland,Amsterdam
1030,Noord-Holland,Amsterdam
1031,Noord-Holland,Amsterdam
1032,Noord-Holland,Amsterdam
1033,Noord-Holland,Amsterdam
1034,Noord-Holland,Amsterdam
1035,Noord-Holland,Amsterdam
1036,Noord-Holland,Amsterdam
1037,Noord-Holland,Amsterdam
1040,Noord-Holland,Amsterdam
1041,Noord-Holland,Amsterdam
1042,Noord-Holland,Amsterdam
1043,Noord-Holland,Amsterdam
1044,Noord-Holland,Amsterdam
1045,Noord-Holland,Amsterdam
1046,Noord-Holland,Amsterdam
1047,Noord-Holland,Amsterdam
1051,Noord-Holland,Amsterdam
1052,Noord-Holland,Amsterdam
1053,Noord-Holland,Amsterdam
1054,Noord-Holland,Amsterdam
1055,Noord-Holland,Amsterdam
1056,Noord-Holland,Amsterdam
1057,Noord-Holland,Amsterdam
1058,Noord-Holland,Amsterdam
1059,Noord-Holland,Amsterdam
1060,Noord-Holland,Amsterdam
1061,Noord-Holland,Amsterdam
1062,Noord-Holland,Amsterdam
1063,Noord-Holland,Amsterdam
1064,Noord-Holland,Amsterdam
1065,Noord-Holland,Amsterdam
1066,Noord-Holland,Amsterdam
1067,Noord-Holland,Amsterdam
1068,Noord-Holland,Amsterdam
1069,Noord-Holland,Amsterdam
1070,Noord-Holland,Amsterdam
1071,Noord-Holland,Amsterdam
1072,Noord-Holland,Amsterdam
1073,Noord-Holland,Amsterdam
1074,Noord-Holland,Amsterdam
1075,Noord-Holland,Amsterdam
1076,Noord-Holland,Amsterdam
1077,Noord-Holland,Amsterdam
1078,Noord-Holland,Amsterdam
1079,Noord-Holland,Amsterdam
1080,Noord-Holland,Amsterdam
1081,Noord-Holland,Amsterdam
1082,Noord-Holland,Amsterdam
1083,Noord-Holland,Amsterdam
1086,Noord-Holland,Amsterdam
1087,Noord-Holland,Amsterdam
1090,Noord-Holland,Amsterdam
