Nederlands.elftal.tegen,Gs,Gw,Ge,Ve,Vo,Te,Gl,Ro
Albanië,4,4,0,0,7,1,5,0
Andorra,6,6,0,0,21,0,7,1
Argentinië,9,4,4,1,13,6,13,2
Armenië,2,2,0,0,3,0,3,0
Australië,4,1,2,1,5,5,2,1
België,127,55,31,41,280,220,30,3
Brazilië,13,4,5,4,19,20,23,3
Bulgarije,12,5,2,5,20,17,9,0
Canada,1,1,0,0,3,0,0,0
Chili,2,1,1,0,4,2,1,0
China,2,2,0,0,4,0,0,0
Colombia,1,0,1,0,0,0,1,1
Costa Rica,1,0,1,0,0,0,2,0
Cura‡ao,1,1,0,0,8,1,0,0
Cyprus,9,9,0,0,34,1,7,0
Denemarken,31,12,10,9,59,43,14,0
Duitsland,29,10,11,8,57,51,16,0
Ecuador,2,1,1,0,2,1,0,0
Egypte,2,0,1,1,2,3,1,0
Engeland,22,7,9,6,29,31,13,0
Engeland (am),10,2,1,7,10,43,0,0
Estland,6,5,1,0,23,4,6,0
Finland,14,11,2,1,43,14,6,0
Frankrijk,28,11,4,13,56,47,16,1
Faeroer Eilanden,1,1,0,0,3,0,0,0
Ghana,3,2,1,0,5,1,1,0
GOS,1,0,1,0,0,0,2,0
Griekenland,9,7,1,1,20,3,5,0
Groot-Brittannië,2,0,0,2,3,8,0,0
Hongarije,17,10,2,5,51,29,9,0
Ierland,22,11,4,7,40,29,13,0
IJsland,12,9,1,2,33,7,7,1
Indonesië,1,1,0,0,3,0,0,0
Iran,1,1,0,0,3,0,0,0
Israël,4,4,0,0,6,1,0,0
Italië,22,3,9,10,21,29,20,1
Ivoorkust,2,2,0,0,7,1,5,0
Japan,3,2,1,0,6,2,4,0
Joegoslavië,9,5,1,3,17,12,4,1
Kameroen,3,2,1,0,3,1,4,0
Kazachstan,2,2,0,0,5,2,3,0
Kroatië,2,1,0,1,4,2,5,0
Letland,3,3,0,0,11,0,2,0
Liechtenstein,1,1,0,0,3,0,0,0
Luxemburg,18,15,1,2,67,14,8,0
Macedonië,4,2,2,0,8,3,6,0
Malta,6,6,0,0,28,0,1,0
Marokko,3,2,0,1,5,4,3,1
Mexico,8,4,1,3,15,15,4,0
Moldavië,4,4,0,0,9,1,3,0
Nederlandse Antillen,2,1,1,0,8,0,0,0
Nigeria,1,1,0,0,5,1,1,0
Noord-Ierland,8,4,3,1,17,5,5,0
Noorwegen,20,9,6,5,44,27,9,0
Oekra‹ne,2,1,1,0,4,1,0,0
Oost-Duitsland,9,6,1,2,17,10,5,1
Oostenrijk,19,9,4,6,36,24,7,0
Paraguay,2,1,1,0,5,1,1,0
Peru,4,3,1,0,7,1,2,0
Polen,16,7,6,3,22,16,7,0
Portugal,14,2,4,8,10,16,23,2
Roemenië,14,10,3,1,29,3,13,0
Rusland,3,1,1,1,6,5,4,0
Saarland,2,2,0,0,5,3,0,0
San Marino,6,6,0,0,39,0,2,0
Saoedi-Arabië,1,1,0,0,2,1,2,0
Schotland,18,9,4,5,26,13,15,0
Servië en Montenegro,1,1,0,0,1,0,2,0
Slovenië,2,2,0,0,3,0,3,0
Slowakije,3,2,1,0,5,2,3,0
Sovjet-Unie,6,3,1,2,8,4,3,0
Spanje,12,6,1,5,18,17,13,2
Suriname,1,1,0,0,4,3,0,0
Thailand,1,1,0,0,3,1,1,0
Tsjechië,11,3,3,5,14,16,19,2
Tsjecho-Slowakije,9,2,1,6,8,17,6,3
Tsjecho-Slowakije (am),1,1,0,0,8,1,0,0
Tunesië,3,1,2,0,7,3,3,0
Turkije,12,5,4,3,13,9,12,0
Uruguay,6,2,1,3,7,9,7,0
Verenigde Staten,5,4,0,1,10,5,7,0
Wales,8,8,0,0,24,5,4,0
West-Duitsland,15,2,5,8,18,33,17,2
Wit-Rusland,10,8,0,2,23,6,12,1
Zuid-Afrika,2,2,0,0,4,1,0,0
Zuid-Korea,2,2,0,0,7,0,2,0
Zweden,25,11,6,8,47,48,9,0
Zwitserland,33,15,3,15,68,61,6,0
