"","LAP","Daniel.RICCIARDO","Lando.NORRIS","Sebastian.VETTEL","Nicholas.LATIFI","Kimi.RAIKKONEN","Romain.GROSJEAN","Pierre.GASLY","Sergio.PEREZ","Charles.LECLERC","Lance.STROLL","Kevin.MAGNUSSEN","Alexander.ALBON","Daniil.KVYAT","Esteban.OCON","Max.VERSTAPPEN","Lewis.HAMILTON","Carlos.SAINZ","George.RUSSELL","Valtteri.BOTTAS","Antonio.GIOVINAZZI"
"1",1,141,145,192,154,181,183,NA,142,136,139,153,138,147,148,NA,135,164,149,132,155
"2",2,144.786,144.371,112.4,142.833,120.769,117.221,NA,145.389,146.424,145.696,142.262,145.96,144.13,143.856,NA,146.653,135.826,144.48,148.572,143.099
"3",3,137.351,137.331,135.684,137.245,137.105,137.211,NA,137.193,136.385,137.382,137.241,136.967,137.237,137.987,NA,136.551,136.43,137.132,137.078,136.806
"4",4,135.385,134.602,136.774,133.727,135.592,134.294,NA,134.942,135.131,134.242,133.812,134.65,134.702,134.439,NA,134.621,134.153,134.898,133.468,133.809
"5",5,132.873,132.713,132.292,134.383,133.244,134.068,NA,132.602,133.4,133.467,134.825,133.442,132.98,133.705,NA,133.693,134.103,133.501,134.247,134.22
"6",6,137.585,135.809,127.016,131.365,128.229,130.396,NA,137.36,140.751,138.951,NA,139.882,133.715,131.793,NA,141.511,NA,130.896,142.886,NA
"7",7,127.885,130.596,131.088,NA,130.389,139.256,NA,129.425,124.466,127.138,NA,126.021,132.074,133.823,NA,123.336,NA,134.695,121.252,NA
"8",8,1580.159,1583.521,1591.459,NA,1590.31,1586.417,NA,1580.731,1576.166,1578.767,NA,1578.108,1584.295,NA,NA,1574.948,NA,1586.384,168.101,NA
"9",9,198.819,192.654,178.583,NA,180.469,175.082,NA,196.716,206.509,201.318,NA,203.245,190.172,NA,NA,208.791,NA,185.201,1617.695,NA
"10",10,88.423,89.731,92.463,NA,90.841,91.999,NA,87.526,86.608,86.695,NA,89.369,90.149,NA,NA,83.37,NA,91.259,84.937,NA
"11",11,84.163,84.739,85.273,NA,85.652,86.648,NA,83.762,83.692,84.052,NA,84.054,85.065,NA,NA,82.549,NA,85.35,82.435,NA
"12",12,83.778,83.851,85.268,NA,85.945,85.495,NA,84.23,83.631,83.888,NA,84.049,84.182,NA,NA,82.376,NA,84.867,83.268,NA
"13",13,84.037,84.469,85.211,NA,85.371,85.447,NA,83.875,83.491,83.332,NA,83.966,84.505,NA,NA,83.064,NA,84.8,82.798,NA
"14",14,83.356,84.415,85.304,NA,85.255,85.559,NA,83.793,84.153,84.125,NA,83.793,84.835,NA,NA,83.293,NA,85.007,83.064,NA
"15",15,83.508,84.197,85.063,NA,85.26,85.56,NA,85.014,84.096,83.885,NA,83.917,84.22,NA,NA,83.231,NA,84.89,83.201,NA
"16",16,83.999,84.285,84.538,NA,86.576,85.537,NA,84.279,84.39,84.507,NA,84.336,84.222,NA,NA,82.997,NA,84.851,82.896,NA
"17",17,84.128,84.314,84.611,NA,85.159,85.864,NA,84.202,84.457,84.194,NA,84.072,84.695,NA,NA,83.013,NA,85.358,83.45,NA
"18",18,84.27,84.438,84.82,NA,84.885,86.083,NA,85.413,85.338,83.259,NA,83.39,84.453,NA,NA,83.683,NA,85.03,83.282,NA
"19",19,83.372,84.554,84.983,NA,85.205,85.681,NA,84.282,85.738,83.637,NA,84.621,84.285,NA,NA,82.919,NA,84.71,83.136,NA
"20",20,83.71,84.548,84.908,NA,85.06,85.733,NA,84.837,86.026,83.623,NA,83.206,84.311,NA,NA,83.2,NA,84.773,83.205,NA
"21",21,83.744,84.704,85.064,NA,85.372,85.627,NA,84.373,104.937,83.821,NA,83.787,85.001,NA,NA,82.818,NA,85.2,83.162,NA
"22",22,83.464,84.042,85.511,NA,85.106,85.676,NA,84.546,90.69,83.76,NA,83.628,84.437,NA,NA,83.668,NA,85.252,83.331,NA
"23",23,83.614,84.437,85.679,NA,85.345,85.93,NA,85.151,84.083,83.919,NA,83.899,84.765,NA,NA,83.243,NA,85.511,83.231,NA
"24",24,83.59,84.636,85.683,NA,85.561,85.613,NA,84.699,84.285,84.078,NA,83.732,85.354,NA,NA,82.994,NA,85.099,83.229,NA
"25",25,84.374,84.958,85.626,NA,85.409,86.012,NA,85.114,85.001,84.07,NA,83.779,85.223,NA,NA,83.283,NA,85.406,83.172,NA
"26",26,84.049,85.119,85.756,NA,85.562,87.007,NA,85.305,83.698,84.301,NA,84.076,84.951,NA,NA,83.425,NA,85.895,83.752,NA
"27",27,101.016,84.868,85.863,NA,113.875,86.063,NA,85.559,84.165,84.222,NA,83.927,85.205,NA,NA,83.316,NA,85.396,83.38,NA
"28",28,86.729,84.258,104.436,NA,95.11,104.416,NA,104.649,84.718,84.649,NA,83.675,85.689,NA,NA,83.112,NA,85.932,83.535,NA
"29",29,84.891,104.423,90.303,NA,84.055,92.229,NA,86.963,84.574,101.836,NA,84.459,103.589,NA,NA,83.137,NA,103.575,84.805,NA
"30",30,83.257,89.431,84.194,NA,85.179,84.662,NA,82.111,85.442,88.311,NA,84.313,90.827,NA,NA,83.074,NA,88.429,84.521,NA
"31",31,83.555,83.202,84.017,NA,83.618,84.652,NA,83.15,84.327,83.117,NA,85.24,83.516,NA,NA,82.914,NA,83.235,103.26,NA
"32",32,83.662,83.407,84.076,NA,84.133,84.532,NA,83.284,83.93,83.153,NA,100.967,83.016,NA,NA,100.016,NA,84.114,87.993,NA
"33",33,83.211,83.067,84.235,NA,83.955,84.558,NA,83.271,86.03,83.238,NA,88.884,83.047,NA,NA,88.882,NA,84.2,81.874,NA
"34",34,83.264,83.021,83.708,NA,83.797,86.389,NA,82.922,83.973,83.021,NA,82.119,83.226,NA,NA,82.104,NA,84.368,81.799,NA
"35",35,83.213,83.299,84.224,NA,83.985,84.717,NA,82.814,83.862,83.034,NA,82.684,83.086,NA,NA,82.261,NA,84.312,81.916,NA
"36",36,83.137,82.784,83.942,NA,83.673,84.678,NA,83.623,83.488,82.739,NA,82.314,82.589,NA,NA,82.453,NA,83.773,82.393,NA
"37",37,82.952,82.583,83.998,NA,83.361,86.816,NA,82.988,102.659,82.323,NA,81.917,84.531,NA,NA,82.015,NA,83.795,82.076,NA
"38",38,82.503,82.978,83.755,NA,83.285,84.483,NA,82.873,88.418,82.399,NA,82.562,83.553,NA,NA,82.099,NA,83.924,82.208,NA
"39",39,82.213,82.886,84.103,NA,83.761,86.907,NA,82.657,82.506,82.544,NA,81.756,83.89,NA,NA,82.305,NA,84.308,82.278,NA
"40",40,82.591,82.641,84.271,NA,84.353,84.951,NA,83.133,82.695,82.176,NA,82.154,83.538,NA,NA,82.499,NA,84.512,82.448,NA
"41",41,82.483,82.878,84.048,NA,85.59,84.346,NA,82.67,82.827,82.068,NA,82.242,83.354,NA,NA,82.301,NA,84.022,82.147,NA
"42",42,82.152,82.698,84.308,NA,108.127,107.445,NA,82.618,83.342,NA,NA,82.038,83.405,NA,NA,82.354,NA,84.215,81.915,NA
"43",43,107.997,117.116,122.831,NA,111.5,111.092,NA,113.975,107.675,NA,NA,110.967,119.157,NA,NA,81.965,NA,123.974,102.623,NA
"44",44,110.108,112.604,111.197,NA,1012.47,951.805,NA,110.473,109.406,NA,NA,110.321,111.464,NA,NA,126.887,NA,111.74,112.694,NA
"45",45,1415.545,1395.827,1375.1,NA,438.507,490.852,NA,1400.069,1384.706,NA,NA,1414.865,1386.474,NA,NA,168.966,NA,1374.687,161.22,NA
"46",46,203.348,192.383,179.363,NA,188.002,186.819,NA,197.483,185.903,NA,NA,198.929,189.879,NA,NA,1481.868,NA,182.358,1477.833,NA
"47",47,84.727,86.604,90.026,NA,87.808,88.49,NA,85.772,89.573,NA,NA,85.553,87.634,NA,NA,84.056,NA,89.994,84.991,NA
"48",48,81.53,82.581,83.368,NA,82.83,82.879,NA,81.827,82.942,NA,NA,80.854,82.451,NA,NA,80.072,NA,83.823,79.752,NA
"49",49,80.712,81.645,82.909,NA,82.156,83.268,NA,81.352,82.717,NA,NA,81.037,81.529,NA,NA,80.153,NA,83.267,81.001,NA
"50",50,80.856,81.291,82.5,NA,81.925,83.431,NA,81.083,81.229,NA,NA,80.464,81.749,NA,NA,80.655,NA,82.327,80.578,NA
"51",51,82.229,81.491,81.968,NA,81.815,84.177,NA,81.492,82.079,NA,NA,80.039,81.458,NA,NA,79.647,NA,83.001,80.596,NA
"52",52,81.333,81.443,82.081,NA,82.068,84.264,NA,81.456,82.146,NA,NA,80.642,81.631,NA,NA,81.451,NA,81.766,81.213,NA
"53",53,81.138,81.526,82.013,NA,81.91,83.511,NA,81.556,82.218,NA,NA,80.83,81.682,NA,NA,80.775,NA,81.789,79.432,NA
"54",54,80.919,81.594,82.349,NA,81.858,83.339,NA,81.62,82.203,NA,NA,80.977,81.67,NA,NA,80.655,NA,82.081,80.941,NA
"55",55,80.656,81.322,81.902,NA,81.93,83.148,NA,81.222,81.889,NA,NA,80.665,81.49,NA,NA,80.662,NA,81.96,80.757,NA
"56",56,80.628,81.236,81.643,NA,81.407,82.708,NA,81.12,81.653,NA,NA,80.83,81.524,NA,NA,80.518,NA,82.432,80.25,NA
"57",57,80.426,81.419,81.781,NA,81.752,82.676,NA,81.236,81.936,NA,NA,80.774,81.468,NA,NA,80.146,NA,81.73,80.054,NA
"58",58,80.643,81.269,81.454,NA,81.371,82.755,NA,81.2,81.236,NA,NA,80.18,81.588,NA,NA,78.833,NA,81.645,79.561,NA
"59",59,81.096,81.198,81.202,NA,81.164,82.263,NA,80.632,81.994,NA,NA,81.273,81.594,NA,NA,79.338,NA,81.715,82.214,NA
