,Date,Door,EnergyKWh,Environment,HotGasPipe,LiquidPipe,Refrigerated,SuctionPipe,Time
0,2023-03-14 23:00:00,0.0,100.0,,,,,,0
1,2023-03-14 23:01:00,0.0,,19.9,18.9,18.3,19.2,19.0,1
2,2023-03-14 23:02:00,0.0,,19.9,18.9,18.5,19.4,19.1,2
3,2023-03-14 23:03:00,0.0,,19.9,18.9,18.4,19.2,18.9,3
4,2023-03-14 23:04:00,0.0,,19.9,18.9,18.4,19.3,19.0,4
5,2023-03-14 23:05:00,0.0,,19.8,18.9,18.4,19.4,18.9,5
6,2023-03-14 23:06:00,0.0,100.0,19.9,18.8,18.5,19.3,19.0,6
7,2023-03-14 23:07:00,0.0,,19.8,18.9,18.4,19.2,19.0,7
8,2023-03-14 23:08:00,0.0,,19.9,18.9,18.4,19.3,19.0,8
9,2023-03-14 23:09:00,0.0,,19.9,19.0,18.6,19.3,19.0,9
10,2023-03-14 23:10:00,0.0,,19.9,18.9,18.6,19.3,19.1,10
11,2023-03-14 23:11:00,0.0,,19.8,19.0,18.6,19.2,19.1,11
12,2023-03-14 23:12:00,0.0,100.0,19.8,18.9,18.6,19.3,19.0,12
13,2023-03-14 23:13:00,0.0,,19.9,19.0,18.6,19.2,19.0,13
14,2023-03-14 23:14:00,0.0,,19.8,19.0,18.6,19.3,18.9,14
15,2023-03-14 23:15:00,0.0,,19.8,18.8,18.6,19.3,19.0,15
16,2023-03-14 23:16:00,0.0,,19.9,19.0,18.6,19.4,18.9,16
17,2023-03-14 23:17:00,0.0,,19.9,18.9,18.7,19.3,19.1,17
18,2023-03-14 23:18:00,0.0,100.0,19.9,19.0,18.6,19.3,18.9,18
19,2023-03-14 23:19:00,0.0,,19.8,19.0,18.6,19.3,18.9,19
20,2023-03-14 23:20:00,0.0,,19.8,19.0,18.6,19.4,19.0,20
21,2023-03-14 23:21:00,0.0,,19.9,18.9,18.7,19.3,19.0,21
22,2023-03-14 23:22:00,0.0,,19.9,19.0,18.7,19.3,19.0,22
23,2023-03-14 23:23:00,0.0,,19.9,18.9,18.8,19.3,18.9,23
24,2023-03-14 23:24:00,0.0,100.0,19.9,19.0,18.6,19.4,19.0,24
25,2023-03-14 23:25:00,0.0,,19.8,19.0,18.7,19.3,19.0,25
26,2023-03-14 23:26:00,0.0,,19.9,18.9,18.6,19.2,19.0,26
27,2023-03-14 23:27:00,0.0,,19.8,19.0,18.8,19.3,19.0,27
28,2023-03-14 23:28:00,0.0,,20.0,18.9,18.7,19.2,19.0,28
29,2023-03-14 23:29:00,0.0,,19.9,18.9,18.8,19.6,19.0,29
30,2023-03-14 23:30:00,0.0,100.0,19.9,18.9,18.7,19.2,19.1,30
31,2023-03-14 23:31:00,0.0,,19.9,19.1,18.7,19.2,19.0,31
32,2023-03-14 23:32:00,0.0,,19.8,19.0,18.7,19.2,19.0,32
33,2023-03-14 23:33:00,0.0,,19.9,19.0,18.7,19.3,19.0,33
34,2023-03-14 23:34:00,0.0,,19.7,18.9,18.7,19.2,19.0,34
35,2023-03-14 23:35:00,0.0,,19.8,18.9,18.7,19.3,19.0,35
36,2023-03-14 23:36:00,0.0,100.0,19.9,19.0,18.7,19.4,19.0,36
37,2023-03-14 23:37:00,0.0,,19.8,19.0,18.8,19.4,19.0,37
38,2023-03-14 23:38:00,0.0,,19.9,19.0,18.7,19.3,19.0,38
39,2023-03-14 23:39:00,0.0,,19.8,18.9,18.6,19.4,19.0,39
40,2023-03-14 23:40:00,0.0,,19.9,19.0,18.7,19.4,19.0,40
41,2023-03-14 23:41:00,0.0,,19.8,19.0,18.7,19.3,19.0,41
42,2023-03-14 23:42:00,0.0,100.0,19.7,19.0,18.7,19.2,19.0,42
43,2023-03-14 23:43:00,0.0,,19.8,19.0,18.8,19.3,19.0,43
44,2023-03-14 23:44:00,0.0,,19.8,19.0,18.8,19.3,19.0,44
45,2023-03-14 23:45:00,0.0,,19.8,19.0,18.7,19.2,19.1,45
46,2023-03-14 23:46:00,0.0,,19.9,19.0,18.7,19.4,19.0,46
47,2023-03-14 23:47:00,0.0,,19.9,18.9,18.8,19.3,19.0,47
48,2023-03-14 23:48:00,0.0,50.0,19.7,19.0,18.8,19.4,18.9,48
49,2023-03-14 23:49:00,0.0,,19.8,18.9,18.8,19.1,19.0,49
50,2023-03-14 23:50:00,0.0,,19.8,19.0,18.8,19.3,19.0,50
51,2023-03-14 23:51:00,0.0,,19.8,19.0,18.8,19.4,19.0,51
52,2023-03-14 23:52:00,0.0,,19.8,19.0,18.9,19.2,19.0,52
53,2023-03-14 23:53:00,0.0,,19.8,19.0,18.8,19.3,19.0,53
54,2023-03-14 23:54:00,0.0,100.0,19.8,19.0,18.7,19.3,19.0,54
55,2023-03-14 23:55:00,0.0,,19.8,19.0,18.8,19.3,19.0,55
56,2023-03-14 23:56:00,0.0,,19.9,19.0,18.7,19.3,18.9,56
57,2023-03-14 23:57:00,0.0,,19.7,19.0,18.8,19.3,19.0,57
58,2023-03-14 23:58:00,0.0,,19.8,19.0,18.8,19.3,19.1,58
59,2023-03-14 23:59:00,0.0,,19.8,18.9,18.8,19.4,19.0,59
60,2023-03-15 00:00:00,0.0,100.0,19.8,19.0,18.9,19.2,19.0,60
61,2023-03-15 00:01:00,0.0,,19.8,18.9,18.7,19.3,19.1,61
62,2023-03-15 00:02:00,0.0,,19.8,18.9,18.7,19.3,19.0,62
63,2023-03-15 00:03:00,0.0,,19.8,18.9,18.9,19.2,19.0,63
64,2023-03-15 00:04:00,0.0,,19.7,19.0,18.8,19.3,18.9,64
65,2023-03-15 00:05:00,0.0,,19.8,19.0,18.7,19.2,19.0,65
66,2023-03-15 00:06:00,0.0,100.0,19.8,19.0,18.9,19.3,19.1,66
67,2023-03-15 00:07:00,0.0,,19.9,19.0,18.9,19.2,19.0,67
68,2023-03-15 00:08:00,0.0,,19.9,19.0,18.9,19.3,19.1,68
69,2023-03-15 00:09:00,0.0,,19.7,19.0,18.8,19.2,18.9,69
70,2023-03-15 00:10:00,0.0,,19.8,19.1,18.9,19.2,19.0,70
71,2023-03-15 00:11:00,0.0,,19.9,19.0,18.8,19.2,19.0,71
72,2023-03-15 00:12:00,0.0,100.0,19.9,19.0,18.9,19.3,18.9,72
73,2023-03-15 00:13:00,0.0,,19.8,19.1,18.8,19.3,19.0,73
74,2023-03-15 00:14:00,0.0,,19.9,19.0,18.8,19.2,19.1,74
75,2023-03-15 00:15:00,0.0,,19.8,19.0,18.8,19.1,18.9,75
76,2023-03-15 00:16:00,0.0,,19.8,19.0,18.8,19.3,18.9,76
77,2023-03-15 00:17:00,0.0,,19.8,19.0,18.7,19.4,18.9,77
78,2023-03-15 00:18:00,0.0,100.0,19.8,19.0,18.8,19.2,19.0,78
79,2023-03-15 00:19:00,0.0,,19.7,18.9,18.9,19.2,18.9,79
80,2023-03-15 00:20:00,0.0,,19.8,19.0,18.7,19.3,18.9,80
81,2023-03-15 00:21:00,0.0,,19.9,19.0,18.9,19.2,19.0,81
82,2023-03-15 00:22:00,0.0,,19.8,19.0,18.9,19.2,19.0,82
83,2023-03-15 00:23:00,0.0,,19.8,19.0,18.8,19.2,19.0,83
84,2023-03-15 00:24:00,0.0,100.0,19.8,19.0,18.8,19.1,19.0,84
85,2023-03-15 00:25:00,0.0,,19.8,19.0,18.9,19.3,18.9,85
86,2023-03-15 00:26:00,0.0,,19.8,18.9,18.8,19.1,19.0,86
87,2023-03-15 00:27:00,0.0,,19.9,18.9,18.8,19.3,19.0,87
88,2023-03-15 00:28:00,0.0,,19.8,19.0,18.8,19.2,18.8,88
89,2023-03-15 00:29:00,0.0,,19.7,18.9,18.8,19.3,18.9,89
90,2023-03-15 00:30:00,0.0,100.0,19.8,18.9,19.0,19.2,19.0,90
91,2023-03-15 00:31:00,0.0,,19.9,18.9,18.8,19.1,18.9,91
92,2023-03-15 00:32:00,0.0,,19.8,19.0,18.9,19.4,19.0,92
93,2023-03-15 00:33:00,0.0,,19.7,19.0,18.9,19.3,19.0,93
94,2023-03-15 00:34:00,0.0,,19.8,19.0,18.9,19.3,19.0,94
95,2023-03-15 00:35:00,0.0,,19.8,19.1,18.8,19.2,19.0,95
96,2023-03-15 00:36:00,0.0,100.0,19.8,19.0,18.8,19.2,19.0,96
