Datum,Ijsbaan,Michel,Ronald
27/12/2017,IJsstadion Thialf (NED),34.98,34.49
28/12/2018,IJsstadion Thialf (NED),35.04,34.60
10/03/2018,IJsstadion Thialf (NED),35.72,34.67
28/10/2017,IJsstadion Thialf (NED),35.58,34.69
22/12/2017,IJsstadion Thialf (NED),34.90,34.74
16/02/2019,IJsstadion Thialf (NED),34.99,34.78
05/03/2016,IJsstadion Thialf (NED),35.18,34.80
21/12/2016,IJsstadion Thialf (NED),35.02,34.81
28/12/2016,IJsstadion Thialf (NED),35.23,34.83
19/01/2019,IJsstadion Thialf (NED),35.01,34.87
06/02/2016,IJsstadion Thialf (NED),35.07,34.89
21/12/2019,IJsstadion Thialf (NED),34.96,34.91
22/01/2016,IJsstadion Thialf (NED),35.63,34.92
26/10/2019,IJsstadion Thialf (NED),35.16,34.94
27/12/2015,IJsstadion Thialf (NED),35.34,34.95
22/12/2018,IJsstadion Thialf (NED),35.19,34.95
21/01/2017,IJsstadion Thialf (NED),35.43,34.98
22/01/2017,IJsstadion Thialf (NED),35.51,35.00
01/11/2019,IJsstadion Thialf (NED),35.14,35.00
21/10/2017,IJsstadion Thialf (NED),35.23,35.06
27/12/2015,IJsstadion Thialf (NED),35.62,35.11
15/12/2018,IJsstadion Thialf (NED),34.95,35.14
02/11/2018,IJsstadion Thialf (NED),35.22,35.22
23/01/2016,IJsstadion Thialf (NED),35.14,35.25
21/12/2015,IJsstadion Thialf (NED),35.54,35.30
27/12/2019,IJsstadion Thialf (NED),35.27,35.38
