OBJECTNUMMER;Code;Locatie;Type_meetpunt;Type_meting;Meting_op_wettelijke_toetsafst;Afstand_tot_gevel_m;jaar_2020;jaar_2019;jaar_2018;jaar_2017;jaar_2016;jaar_2015;jaar_2014;jaar_2013;jaar_2012;jaar_2011;jaar_2010;LNG;LAT
1;IJB19;Ijsbaanpad 19;Achtergrond;Palmes;;0;0;25,9;26,8;29,2;28,4;26,6;27,3;31,1;31,8;31,3;31;4,853005;52,341093
2;DECL40;de Clercqstraat 40;Straat;Palmes;Nee;0;0;31,6;29,6;38,4;42,1;38,5;39,5;38;39,7;40,6;43,4;4,871005;52,370993
3;SPD165;Spaarndammerdijk 165;Straat;Palmes;Ja;0;0;32,4;33,3;51,2;49,2;0;0;0;0;0;0;4,875005;52,392793
4;SPD53;Spaarndammerdijk 53;Straat;Palmes;Ja;0;0;30,7;31,4;43,1;0;0;40,5;38,4;43,5;44,1;0;4,876005;52,392993
5;SPD29;Spaarndammerdijk 29;Straat;Palmes;Ja;0;0;31,5;29,8;44,4;0;0;38,8;38;41,5;43,3;0;4,877005;52,391993
6;SPUI250;Spuistraat 250;Straat;Palmes;Ja;0;0;24,4;27,3;31,3;31,5;32,2;34,4;34,8;0;0;0;4,889005;52,370993
7;DAM 243;Damrak 243;Straat;Palmes;Nee;0;0;31,5;35,6;39,3;39,7;39,7;0;49,8;50,3;50,7;49,9;4,896005;52,374993
8;DAM23;Damrak t,o, 23 (aanlegsteiger);Straat;Palmes;Nee;31,3;0;38,7;43,7;50,1;47,2;45,3;46,7;46,4;48,8;0;0;4,898005;52,376993
9;STDK156;Stadhouderskade 156;Straat;Palmes;Nee;6;0;38,9;39,7;43,6;44,5;39,3;44,3;38,7;42,2;43,8;44,1;4,903005;52,358993
10;HEN124;Prins Hendrikkade 124;Straat;Palmes;Nee;4,1;0;40,8;48;54,7;55;52,4;55,8;51,1;56,3;56,9;59,3;4,905005;52,373993
11;AMS45;Amsteldijk 45;Straat;Palmes;Ja;0;0;29,2;32,1;32,6;0;0;0;0;0;0;0;4,906005;52,354693
12;KH32;Kattenburgerhof 32;Achtergrond;Palmes;;0;0;22,7;23,4;27,7;26,7;26,6;0;0;0;0;0;4,918005;52,371693
13;COBA10;Count Baseystraat 100;Achtergrond;Palmes;;0;0;19,3;20,5;22,1;23,1;22,1;23,1;23,7;24,4;24,6;26,8;4,825405;52,343993
14;AL29;Aart van der Leeuwstraat 29;Achtergrond;Palmes;;0;0;23,1;22,6;24,3;25,5;22,6;25;25;27,6;28,3;28;4,831905;52,375993
15;CHL10;Charles Leickertstraat 10;Achtergrond;Palmes;;0;0;24,9;28,1;28,4;28,9;28,4;29,6;0;0;0;0;4,841205;52,359993
16;HLW645;Haarlemmerweg 645;Straat;Palmes;Ja;0;0;28,6;29,5;33,4;34,5;33,3;33,5;31,8;35,5;37,9;38,1;4,848505;52,384993
17;SB28674;Spaanse Brabanderstraat;Achtergrond;Palmes;;0;0;27;28,5;29,2;29,4;29,9;29,4;29,5;0;0;0;4,848805;52,380093
