datum_eerste_toelating,benzine_count,elektriciteit_count,diesel_count,waterstof_count,alcohol_count,lpg_count,cng_count,lng_count
1877-06,0,1,0,0,0,0,0,0
1889-06,0,0,2,0,0,0,0,0
1894-06,1,0,1,0,0,0,0,0
1895-06,1,0,0,0,0,0,0,0
1897-02,1,0,0,0,0,0,0,0
1897-12,1,0,0,0,0,0,0,0
1898-06,2,0,0,1,0,0,0,0
1899-06,6,0,0,0,0,0,0,0
1900-02,1,0,0,0,0,0,0,0
1900-06,5,0,0,0,0,0,0,0
1901-02,1,0,0,0,0,0,0,0
1901-06,4,0,1,0,0,0,0,0
1902-02,1,1,0,0,0,0,0,0
1902-06,8,0,0,0,0,0,0,0
1903-06,13,0,0,0,0,0,0,0
1904-01,2,0,0,0,0,0,0,0
1904-02,1,0,0,0,0,0,0,0
1904-06,17,1,0,0,0,0,0,0
1904-08,1,0,0,0,0,0,0,0
1904-12,1,0,0,0,0,0,0,0
1905-06,4,0,0,0,0,0,0,0
1906-02,5,0,0,0,0,0,0,0
1906-06,7,0,0,1,0,0,0,0
1907-02,3,0,0,0,0,0,0,0
1907-06,7,1,1,0,0,0,0,0
1907-07,3,0,0,0,0,0,0,0
1907-08,1,0,0,0,0,0,0,0
1908-01,1,0,0,0,0,0,0,0
1908-02,1,0,0,0,0,0,0,0
1908-06,7,1,0,0,0,0,0,0
1908-09,1,0,0,0,0,0,0,0
1909-02,4,0,0,0,0,0,0,0
1909-04,1,0,0,0,0,0,0,0
1909-06,12,0,0,0,0,0,0,0
1909-07,1,0,0,0,0,0,0,0
1909-09,1,0,0,0,0,0,0,0
1910-01,1,0,0,0,0,0,0,0
1910-02,7,0,0,0,0,0,0,0
1910-04,1,0,0,0,0,0,0,0
1910-06,14,0,0,1,0,0,0,0
1910-07,1,0,0,0,0,0,0,0
1910-09,3,0,0,0,0,0,0,0
1910-10,1,0,0,0,0,0,0,0
1910-12,1,0,0,0,0,0,0,0
1911-01,1,0,0,0,0,0,0,0
1911-02,10,0,0,0,0,0,0,0
1911-06,24,0,0,0,0,0,0,0
1911-09,1,0,0,0,0,0,0,0
1911-12,1,0,0,0,0,0,0,0
1912-01,1,0,0,0,0,0,0,0
1912-02,12,0,0,0,0,0,0,0
1912-05,1,0,0,0,0,0,0,0
1912-06,31,0,0,0,0,0,0,0
1912-09,2,0,0,0,0,0,0,0
1913-01,2,0,0,0,0,0,0,0
1913-02,11,0,0,0,0,0,0,0
1913-06,50,0,2,1,0,0,0,0
1913-07,1,0,0,0,0,0,0,0
1914-02,23,0,0,0,0,0,0,0
1914-03,1,0,0,0,0,0,0,0
1914-05,1,0,0,0,0,0,0,0
1914-06,52,0,0,0,0,0,0,0
1914-07,2,0,0,0,0,0,0,0
1914-09,3,0,0,0,0,0,0,0
1914-11,1,0,0,0,0,0,0,0
1914-12,3,0,0,0,0,0,0,0
1915-01,1,0,0,0,0,0,0,0
1915-02,13,0,0,0,0,0,0,0
1915-03,1,0,0,0,0,0,0,0
1915-05,1,0,0,0,0,0,0,0
1915-06,22,1,1,0,0,0,0,0
1915-10,1,0,0,0,0,0,0,0
1915-11,1,0,0,0,0,0,0,0
1916-01,2,0,0,0,0,0,0,0
1916-02,4,0,0,0,0,0,0,0
1916-06,16,0,3,0,1,0,0,0
1917-02,3,0,0,0,0,0,0,0
1917-06,34,0,0,0,0,0,0,0
1917-07,3,0,0,0,0,0,0,0
1918-01,1,0,0,0,0,0,0,0
1918-02,5,0,0,0,0,0,0,0
1918-06,18,2,0,0,2,0,0,0
1918-09,1,0,0,0,0,0,0,0
1918-12,1,0,0,0,0,0,0,0
1919-01,2,0,0,0,0,0,0,0
1919-02,8,0,0,0,0,0,0,0
1919-06,50,0,0,0,0,0,0,0
1919-07,1,0,0,0,0,0,0,0
1919-08,1,0,0,0,0,0,0,0
1919-09,2,0,0,0,0,0,0,0
1919-10,1,0,0,0,0,0,0,0
1920-01,1,0,0,0,0,0,0,0
1920-02,12,0,0,0,0,0,0,0
1920-06,62,0,2,0,0,0,0,0
1920-07,1,0,0,0,0,0,0,0
1920-08,1,0,0,0,0,0,0,0
1920-10,1,0,0,0,0,0,0,0
1920-12,1,0,0,0,0,0,0,0
1921-01,11,0,0,0,0,0,0,0
1921-02,15,0,0,0,0,0,0,0
1921-03,1,0,0,0,0,0,0,0
1921-04,2,0,0,0,0,0,0,0
1921-06,47,0,6,1,0,0,0,0
1921-07,2,0,0,0,0,0,0,0
1921-08,1,0,0,0,0,0,0,0
1921-09,1,0,0,0,0,0,0,0
1921-10,1,0,0,0,0,0,0,0
1922-01,1,0,0,0,0,0,0,0
1922-02,20,0,0,0,0,0,0,0
1922-03,2,0,0,0,0,0,0,0
1922-06,58,0,1,0,0,0,0,0
1922-07,2,0,0,0,0,0,0,0
1922-08,2,0,0,0,0,0,0,0
1922-09,4,0,0,0,0,0,0,0
1922-10,2,0,0,0,0,0,0,0
1922-11,2,0,0,0,0,0,0,0
1923-01,3,0,0,0,0,0,0,0
1923-02,16,0,0,0,0,0,0,0
1923-03,5,0,0,0,0,0,0,0
1923-05,4,0,0,0,0,0,0,0
1923-06,76,1,3,0,0,1,0,0
1923-07,4,0,0,0,0,0,0,0
1923-09,4,0,0,0,0,0,0,0
1923-10,2,0,0,0,0,0,0,0
1923-11,2,0,0,0,0,0,0,0
1923-12,2,0,0,0,0,0,0,0
1924-01,6,0,0,0,0,0,0,0
1924-02,18,0,0,0,0,0,0,0
1924-03,1,0,0,0,0,0,0,0
1924-04,1,0,0,0,0,0,0,0
1924-05,3,0,0,0,0,0,0,0
1924-06,122,0,2,3,1,0,0,0
1924-07,3,0,0,0,0,0,0,0
1924-09,5,0,0,0,0,0,0,0
1924-10,1,0,0,0,0,0,0,0
1924-12,1,0,0,0,0,0,0,0
1925-01,7,0,0,0,0,0,0,0
1925-02,22,0,0,0,0,0,0,0
1925-03,1,0,0,0,0,0,0,0
1925-04,2,0,0,0,0,0,0,0
1925-05,2,0,0,0,0,0,0,0
1925-06,128,0,5,2,0,0,0,0
1925-07,7,0,0,0,0,0,0,0
1925-09,4,0,0,0,0,0,0,0
1925-10,1,0,0,0,0,0,0,0
1925-12,1,0,0,0,0,0,0,0
1926-01,8,0,0,0,0,0,0,0
1926-02,32,0,0,0,0,0,0,0
1926-03,2,0,0,0,0,0,0,0
1926-05,1,0,0,0,0,0,0,0
1926-06,175,0,4,0,0,0,0,0
1926-07,6,0,0,0,0,0,0,0
1926-09,5,0,0,0,0,0,0,0
1926-10,3,0,0,0,0,0,0,0
1926-11,2,0,0,0,0,0,0,0
1926-12,2,0,0,0,0,0,0,0
1927-01,6,0,0,0,0,0,0,0
1927-02,32,0,0,0,0,0,0,0
1927-03,2,0,0,0,0,0,0,0
1927-04,4,0,0,0,0,0,0,0
1927-05,5,0,0,0,0,0,0,0
1927-06,229,0,5,0,0,0,0,0
1927-07,9,0,0,0,0,0,0,0
1927-08,3,0,0,0,0,0,0,0
1927-09,7,0,0,0,0,0,0,0
1927-10,1,0,0,0,0,0,0,0
1927-11,2,0,0,0,0,0,0,0
1927-12,3,0,0,0,0,0,0,0
1928-01,10,0,0,0,0,0,0,0
1928-02,81,0,0,0,0,0,0,0
1928-03,3,0,0,0,0,0,0,0
1928-04,6,0,0,0,0,0,0,0
1928-05,2,0,0,0,0,0,0,0
1928-06,407,0,13,3,0,2,0,0
1928-07,13,0,0,0,0,0,0,0
1928-08,1,0,0,0,0,0,0,0
1928-09,7,0,0,0,0,0,0,0
1928-10,2,0,0,0,0,0,0,0
1928-11,4,0,0,0,0,0,0,0
1928-12,7,0,0,0,0,0,0,0
1929-01,13,0,0,0,0,0,0,0
1929-02,112,0,0,1,0,1,0,0
1929-03,11,0,0,0,0,0,0,0
1929-04,7,0,0,0,0,0,0,0
1929-05,5,0,0,0,0,0,0,0
1929-06,560,0,14,0,0,0,0,0
1929-07,12,0,0,0,0,0,0,0
1929-08,4,0,0,0,0,0,0,0
1929-09,19,0,0,0,0,0,0,0
1929-10,5,0,0,0,0,0,0,0
1929-11,2,0,0,0,0,0,0,0
1929-12,6,0,0,0,0,0,0,0
1930-01,19,0,0,0,0,0,0,0
1930-02,130,0,0,0,0,0,0,0
1930-03,11,0,0,0,0,0,0,0
1930-04,11,0,0,0,0,0,0,0
1930-05,18,0,0,0,0,0,0,0
1930-06,638,0,31,1,2,0,0,0
1930-07,15,0,0,0,0,0,0,0
1930-08,4,0,0,0,0,0,0,0
1930-09,17,0,0,0,0,0,0,0
1930-10,3,0,0,0,0,0,0,0
1930-11,3,0,0,0,0,0,0,0
1930-12,8,0,0,0,0,0,0,0
1931-01,17,0,0,0,0,0,0,0
1931-02,128,0,0,0,0,0,0,0
1931-03,8,0,0,0,0,0,0,0
