,VERTROUWELIJK - alleen gebruiken binnen doelstelling en afspraken,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55
0,Locatievoorstel ID,Stilgezet,Stilgezet uitleg,Stilgezet nu of ooit in verleden,Tijdstip van laatste wijziging,Verplaatsing MRA-E Laadpaal ID,Tijdstip aangemaakt,Tijdstip locatievoorstel,Tijdstip controle locatievoorstel,Tijdstip advies exploitant,Tijdstip publicatie verkeersbesluit,Tijdstip aanvraag netaansluiting,Tijdstip definitief verkeersbesluit,Tijdstip accepteren MRA-E,Tijdstip realisatie plannen,Tijdstip locatie voorbereiden,Tijdstip in bedrijf,Tijdstip opleveren laadpaal,Tijdstip opleveren locatie,Organisatie ID,Organisatie naam,Gemeente ID,Gemeente naam,Referenties,Locatie - Longitude,Locatie - Latitude,Straat,Huisnummer,Postcode,Plaats,Was voorkeurslocatie,VoorkeurslocatieID,Opmerkingen,Autodelen,Laadplein,Laadpunten,Gereserveerde parkeervakken,Gereserveerde parkeervakken autodelen,Aanleiding,Toelichting bij verplaatsing,Locatiecode,Aanbodgestuurd Opmerkingen,Datagestuurd Opmerkingen,Exploitant Akkoord,Aannemer Akkoord,Gemeente Akkoord,Gemeente akkoord met offerte verplaatsing,Verkeersbesluit Gepubliceerd Datum,Verkeersbesluit Definitief Datum,Verkeersbesluit Definitief Gewijzigd,Aanvraag Netaansluiting Datum,Datum Realisatie Gepland,Datum In Bedrijf,Laadpaal ID,Extra Laadpaal IDs,Datum oplevering
1,LV-6,False,,False,2020-10-22 09:06:27.400000,,2018-12-05 13:40:44.360000,2018-12-05 14:06:07.114000,2018-12-19 14:45:00.395000,2018-12-24 14:47:22.368000,2018-12-31 08:50:02.188000,2019-01-31 13:11:05.446000,2018-12-31 10:46:40.870000,2018-12-31 10:46:44.903000,2019-04-24 05:54:56.583000,2019-04-24 06:36:17.898000,2019-05-08 08:36:20.072000,2019-08-14 08:56:36.783000,2019-09-11 07:24:17.680000,84,OVER-Gemeenten,385,Wormerland,"WORMERLAND00003, WORMERLAND00009",4.81048546,52.49498489,Spatterstraat,21,1531 DA,Wormer,False,<nil>,bij sporthal,False,False,2,2,0,vraaggestuurdverzoek,,,,,True,True,,,2018-08-28 00:00:00,2018-10-09 00:00:00,False,2019-01-21 00:00:00,2019-05-06 00:00:00,2019-05-07 00:00:00,PP001911,,2019-05-08 00:00:00
2,LV-8,False,,False,2020-10-22 09:06:27.400000,,2018-12-06 09:20:44.736000,2018-12-31 12:39:10.967000,2018-12-31 12:39:30.972000,2019-01-02 08:06:41.882000,2019-02-25 15:19:54.254000,2019-03-07 06:43:14.800000,2019-04-09 07:55:49.334000,2019-04-09 08:45:33.427000,2019-09-11 06:55:01.214000,2019-09-25 12:08:00.393000,2019-09-25 08:24:13.355000,2019-10-17 14:27:06.405000,2019-09-25 12:08:18.781000,16,Gemeente De Bilt,269,De Bilt,"DEBILT00016, DEBILT00025",5.18069130743751,52.1110277140548,Buys Ballotweg,66,3731 VK,De Bilt,False,<nil>,,False,False,2,2,0,vraaggestuurdverzoek,,,,,True,True,,,2019-02-27 00:00:00,2019-04-10 00:00:00,False,2019-03-06 00:00:00,2019-09-25 00:00:00,2019-09-25 00:00:00,PP001968,,2019-09-25 00:00:00
3,LV-11,False,,False,2020-10-22 09:06:27.400000,,2018-12-07 09:59:17.463000,2018-12-07 10:03:25.510000,2019-01-14 12:10:51.520000,2019-01-15 08:45:00.559000,2019-01-31 15:28:01.963000,2019-02-18 14:02:10.212000,2019-02-20 07:31:18.342000,2019-02-20 11:24:01.657000,2019-06-07 06:57:55.205000,2019-06-11 06:57:01.107000,2019-06-13 12:08:19.299000,2019-08-14 08:58:25.607000,2020-07-16 14:50:16.003000,28,Gemeente Heemskerk,334,Heemskerk,HEEMSKERK00007,4.65528567607512,52.5114807398937,Commandeurslaan,81,1964 LW,Heemskerk,False,<nil>,,False,False,2,2,0,vraaggestuurdverzoek,,,,,True,True,,,2019-01-25 00:00:00,2019-02-27 00:00:00,False,2019-02-14 00:00:00,2019-06-11 00:00:00,2019-06-13 00:00:00,PP002024,,2019-06-13 00:00:00
4,LV-12,False,,False,2020-10-22 09:06:27.400000,,2018-12-07 10:17:23.991000,2018-12-07 10:18:44.540000,2018-12-19 14:45:58.376000,2018-12-24 14:49:50.718000,2019-01-31 15:33:03.486000,2019-02-18 14:04:13.754000,2019-02-20 07:25:32.040000,2019-02-20 11:24:13.567000,2019-06-07 07:00:04.976000,2019-06-11 06:59:11.801000,2019-06-13 12:07:04.829000,2019-08-14 09:00:13.784000,2020-07-16 14:55:31.495000,28,Gemeente Heemskerk,334,Heemskerk,HEEMSKERK00008,4.67044600069411,52.5087101181511,Maerten van Heemskerckstraat,25,1961 EB,Heemskerk,False,<nil>,,False,False,2,2,0,vraaggestuurdverzoek,,,,,True,True,,,2019-01-18 00:00:00,2019-02-20 00:00:00,False,2019-02-14 00:00:00,2019-06-12 00:00:00,2019-06-13 00:00:00,PP002023,,2019-06-13 00:00:00
5,LV-13,False,,False,2020-10-22 09:06:27.400000,,2018-12-11 12:38:02.088000,2019-01-31 15:45:37.668000,2019-02-25 12:05:58.888000,2019-02-25 13:45:57.918000,2019-03-19 10:36:27.679000,2019-03-25 08:51:28.078000,2019-04-30 07:15:35.345000,2019-04-30 07:26:09.665000,2019-09-11 15:02:04.703000,2020-01-27 12:13:29.181000,2019-09-30 10:32:23.344000,2020-01-23 10:33:28.840000,2020-01-27 12:13:32.395000,24,Gemeente Enkhuizen,328,Enkhuizen,ENKHUIZEN00003,5.28117654,52.70156169,Nassaustraat,2,1601 BG,Enkhuizen,False,<nil>,,False,False,2,2,0,vraaggestuurdverzoek,,,,,True,True,,,2019-03-19 00:00:00,2019-04-30 00:00:00,False,2019-03-22 00:00:00,2019-09-27 00:00:00,2019-09-27 00:00:00,PP002135,,2019-09-27 00:00:00
6,LV-14,False,,True,2020-11-18 11:38:50.930000,,2018-12-11 14:33:00.583000,2019-01-07 16:05:06.989000,2019-01-07 16:05:09.711000,2019-01-08 13:49:41.601000,2019-01-10 10:41:31.987000,2019-02-18 12:46:38.771000,2019-02-28 15:26:36.440000,2019-03-04 13:21:09.537000,2019-05-22 06:49:38.700000,2019-09-03 09:25:14.734000,2019-07-24 10:52:09.365000,2019-10-17 13:14:48.459000,2020-11-18 11:38:50.945000,37,Gemeente IJsselstein,297,IJsselstein,IJSSELSTEIN00026,5.04069745408615,52.0089482225011,Arizonahof,8,3404 WP,IJsselstein,False,<nil>,,False,False,2,2,0,vraaggestuurdverzoek,,,,,True,True,,,2019-01-14 00:00:00,2019-02-25 00:00:00,False,2019-01-21 00:00:00,2019-06-06 00:00:00,2019-06-07 00:00:00,PP002138,,2019-06-07 00:00:00
7,LV-16,False,,False,2020-10-22 09:06:27.400000,,2018-12-12 13:19:57.729000,2019-01-02 14:50:38.040000,2019-01-07 10:51:40.019000,2019-01-08 11:40:45.641000,2019-01-31 17:18:50.180000,2019-02-18 14:06:09.661000,2019-01-31 17:20:09.148000,2019-01-31 18:39:00.350000,2019-04-04 12:54:29.218000,2019-04-18 09:11:22.925000,2019-04-24 10:22:34.734000,2019-04-24 10:23:02.129000,2019-04-24 10:23:08.920000,65,Gemeente Utrechtse Heuvelrug,263,Utrechtse Heuvelrug,UTRECHTSEHEUVELRUG00008,5.40959871569492,52.0552663753444,Samuel de Marezhof,49,3953 CH,Maarsbergen,False,<nil>,Laadpaal bij Samuel de Marezhof 49 in Maarsbergen,False,False,2,2,0,vraaggestuurdverzoek,,,,,True,True,,,2018-11-22 00:00:00,2019-01-03 00:00:00,False,2019-02-14 00:00:00,2019-04-10 00:00:00,2019-04-10 00:00:00,PP001829,,2019-04-10 00:00:00
8,LV-17,False,,False,2020-10-22 09:06:27.400000,,2018-12-12 13:35:50.546000,2019-02-15 09:23:01.609000,2019-02-15 09:26:14.900000,2019-02-18 09:02:36.514000,2019-03-13 07:52:02.497000,2019-03-19 09:35:45.641000,2019-04-18 07:24:48.211000,2019-04-18 07:34:04.910000,2019-05-22 06:49:18.295000,2019-05-31 10:42:16.813000,2019-07-24 10:52:36.270000,2019-08-14 09:04:29.132000,2019-08-05 13:03:45.668000,65,Gemeente Utrechtse Heuvelrug,263,Utrechtse Heuvelrug,UTRECHTSEHEUVELRUG00006,5.34822101841852,52.0288419594973,Vruchtengaard,47,3941 LG,Doorn,False,<nil>,,False,False,2,2,0,vraaggestuurdverzoek,,,,,True,True,,,2018-11-22 00:00:00,2019-01-03 00:00:00,False,2019-03-14 00:00:00,2019-06-06 00:00:00,2019-06-07 00:00:00,PP002139,,2019-06-07 00:00:00
9,LV-18,False,,False,2020-10-22 09:06:27.400000,,2018-12-12 13:46:44.044000,2019-02-15 09:31:42.794000,2019-02-15 09:33:31.792000,2019-02-18 09:03:37.048000,2019-05-08 08:07:02.017000,2019-05-08 11:33:40.393000,2019-06-20 09:25:50.749000,2019-06-24 08:08:05.473000,2019-12-18 08:23:33.307000,2020-05-12 12:54:17.458000,2020-01-13 14:43:04.488000,2020-01-13 16:14:06.518000,2020-08-04 12:46:35.387000,65,Gemeente Utrechtse Heuvelrug,263,Utrechtse Heuvelrug,"UTRECHTSEHEUVELRUG00009, UTRECHTSEHEUVELRUG00048",5.459709327158,52.0059120769986,De Klamp,2,3958 GK,Amerongen,False,<nil>,,False,False,2,2,0,vraaggestuurdverzoek,,,,,True,True,,,2019-05-09 00:00:00,2019-06-20 00:00:00,False,2019-05-08 00:00:00,2020-01-13 00:00:00,2020-01-13 00:00:00,PP004308,,2020-01-13 00:00:00
